PLAYERID,PLAYER_SLUG,STRENGTHS
357598,josip-brekalo,Long balls
802142,jonathan-ikone,Passing
802142,jonathan-ikone,Long balls
330705,antonin-barak,Long balls
330705,antonin-barak,Passing
330705,antonin-barak,High pressing
893640,riccardo-sottil,Ground duels
893640,riccardo-sottil,Passing
1101992,bianco-alessandro,Ground duels
1100207,amatucci-lorenzo,Positioning
795297,lucas-martinez-quarta,Tackling
795297,lucas-martinez-quarta,Ground duels
836168,nikola-milenkovic,Aerial duels
836168,nikola-milenkovic,Ground duels
122848,cristiano-biraghi,Direct free kicks
822518,dodo,Ground duels
1137431,michael-kayode,Ground duels
972886,fabiano-parisi,Ground duels
972567,lucchesi-lorenzo,Ground duels
38162,duvan-zapata,High pressing
38162,duvan-zapata,Positioning
357596,nikola-vlasic,High pressing
928572,krisztofer-horvath,Long balls
928572,krisztofer-horvath,High pressing
189135,karol-linetty,Long balls
826185,raoul-bellanova,Passing
826185,raoul-bellanova,Ground duels
826185,raoul-bellanova,Long balls
930189,samuele-ricci,Ground duels
356160,vanja-milinkovic-savic,Long shots saving
356160,vanja-milinkovic-savic,Handling
958598,mihai-popa,Reflexes
822471,victor-osimhen,Positioning
822471,victor-osimhen,High pressing
822471,victor-osimhen,Finishing
889259,khvicha-kvaratskhelia,High pressing
889259,khvicha-kvaratskhelia,Positioning
889259,khvicha-kvaratskhelia,Passing
917485,walid-cheddira,Penalty taking
865651,giacomo-raspadori,Long balls
235672,matteo-politano,Playmaking
787941,frank-anguissa,High pressing
150383,stanislav-lobotka,Long balls
150383,stanislav-lobotka,Ground duels
857671,jens-cajuste,Long balls
153257,giovanni-di-lorenzo,Long balls
805078,mathias-olivera,Ground duels
332155,amir-rrahmani,Long balls
99546,mario-rui,Ground duels
870263,alessandro-buongiorno,Positioning
870263,alessandro-buongiorno,Tackling
108484,juan-jesus,Ground duels
592794,alex-meret,Penalty saving
947954,elia-caprile,Reflexes
947954,elia-caprile,Penalty saving
947954,elia-caprile,High claims
914501,mateo-retegui,Positioning
914501,mateo-retegui,Penalty taking
804909,albert-gudmundsson,Direct free kicks
804909,albert-gudmundsson,Finishing
804909,albert-gudmundsson,Playmaking
1093695,vitinha,High pressing
39482,milan-badelj,Positioning
918440,morten-frendrup,Ground duels
918440,morten-frendrup,Positioning
918440,morten-frendrup,Tackling
797286,aaron-martin,Direct free kicks
795056,melegoni-filippo,Long balls
970998,patrizio-masini,Tackling
970998,patrizio-masini,Positioning
889785,johan-vasquez,Ground duels
250547,mattia-bani,Ground duels
1068885,alessandro-marcandalli,Ground duels
98059,nicola-leali,Penalty saving
928122,colpani-andrea,Long balls
838907,dany-mota,Long balls
76132,milan-duric,Aerial duels
76132,milan-duric,Positioning
350210,matteo-pessina,Long balls
350210,matteo-pessina,Penalty taking
139397,mattia-valoti,Long balls
1146750,tommaso-marras,Ball control
208988,pablo-mari,Long balls
107936,danilo-dambrosio,Ground duels
165583,armando-izzo,Ground duels
970978,andrea-carboni,Ground duels
246319,ondrej-duda,High pressing
915812,abdou-harroui,Passing
1019892,stefan-mitrovic,Passing
964154,tomas-suslov,High pressing
812829,giangiacomo-magnani,Ground duels
1384847,daniele-ghilardi,Ground duels
874812,frese-martin,Ground duels
1526305,christian-corradi,Ball interception
1526305,christian-corradi,Positioning
1526305,christian-corradi,Aerial duels
1136325,rares-catalin-burnete,Anchor play
1136325,rares-catalin-burnete,Ball control
841977,ylber-ramadani,Positioning
1137730,joan-gonzalez,Ground duels
886628,thorir-johann-helgason,Long balls
1014651,balthazar-pierret,Positioning
1014651,balthazar-pierret,Tackling
1397168,dorgu-patrick,Ground duels
1090374,kialonda-gaspar,Positioning
1090374,kialonda-gaspar,Aerial duels
1090374,kialonda-gaspar,Ground duels
944899,valentin-gendrey,Ground duels
945616,antonino-gallo,Ground duels
845024,christian-fruchtl,High claims
980624,lazar-samardzic,Long balls
351434,hassane-kamara,Positioning
609206,kingsley-ehizibue,Ground duels
913401,nehuen-perez,Positioning
913401,nehuen-perez,Tackling
913401,nehuen-perez,Ground duels
886930,jaka-bijol,Aerial duels
886930,jaka-bijol,Positioning
886930,jaka-bijol,Consistency
357588,filip-benkovic,Aerial duels
58351,christian-kabasele,Aerial duels
233856,lautaro-giannetti,Positioning
1120038,leonardo-buta,Ground duels
891656,maduka-okoye,Reflexes
311396,gaston-pereiro,Long shots
279563,razvan-marin,Playmaking
920391,antoine-makoumbou,Long balls
286087,mateusz-wieteska,Ground duels
822163,hatzidiakos-pantelis,Ground duels
352736,sebastiano-luperto,Ground duels
795926,boris-radunovic,Long shots saving
186845,alberto-grassi,Positioning
1015856,duccio-degli-innocenti,Ground duels
840414,ardian-ismajli,Ground duels
369866,luca-mazzitelli,Direct free kicks
369866,luca-mazzitelli,Positioning
826198,andrea-pinamonti,Anchor play
963398,janis-antiste,Positioning
932643,armand-lauriente,Playmaking
352802,maxime-lopez,Long balls
882592,boloca-daniel,Long balls
928879,andrea-ghion,Ground duels
789234,martin-erlic,Ground duels
27982,antonio-candreva,Direct free kicks
27982,antonio-candreva,Playmaking
906110,diego-valencia,Positioning
845271,dylan-bronn,Ground duels
227620,anthony-partipilo,High pressing
812145,dennis-man,Playmaking
812145,dennis-man,Long balls
812145,dennis-man,High pressing
928295,benedyczak-adrian,Penalty taking
934384,adrian-bernabe,Long balls
934384,adrian-bernabe,Passing
934384,adrian-bernabe,Playmaking
156019,hernani,High pressing
895868,nahuel-estevez,Positioning
983510,botond-balogh,Ground duels
928103,enrico-del-prato,Ground duels
139094,gianluca-di-chiara,Ground duels
80532,leandro-chichizola,High claims
795044,patrick-cutrone,High pressing
877201,gabriel-strefezza,Playmaking
877201,gabriel-strefezza,Positioning
877201,gabriel-strefezza,High pressing
187121,alberto-cerri,Anchor play
962282,matthias-braunoder,Ground duels
911848,lucas-da-cunha,Playmaking
911848,lucas-da-cunha,Direct free kicks
798664,oliver-abildgaard,Aerial duels
798664,oliver-abildgaard,Positioning
1031562,peter-kovacik,Playmaking
1031562,peter-kovacik,High pressing
1031562,peter-kovacik,Consistency
966663,samuel-ballet,High pressing
346060,alessandro-bellemo,Positioning
350882,alessio-iovine,Ground duels
870211,dossena-alberto,Ground duels
870211,dossena-alberto,Positioning
929775,tommaso-cassandro,Ground duels
814876,adrian-semper,Long shots saving
137155,joel-pohjanpalo,Penalty taking
137155,joel-pohjanpalo,Finishing
137155,joel-pohjanpalo,Positioning
896180,gianluca-busio,Long balls
1022084,tanner-tessmann,Direct free kicks
1022084,tanner-tessmann,Positioning
1022084,tanner-tessmann,Consistency
250501,ridgeciano-haps,Ground duels
872272,andersen-magnus-kofod,Passing
805983,luca-fiordilino,Ground duels
933641,jay-idzes,Ground duels
822485,marin-sverko,Ground duels
882004,giorgio-altare,Aerial duels
215246,franco-vazquez,Long balls
215246,franco-vazquez,Positioning
215246,franco-vazquez,High pressing
869275,dennis-johnsen,Playmaking
869275,dennis-johnsen,Long balls
345899,cesar-falletti,High pressing
345899,cesar-falletti,Passing
345899,cesar-falletti,Long balls
847025,luca-zanimacchia,Long balls
318645,jari-vandeputte,Playmaking
131910,michele-castagnetti,Playmaking
172599,zan-majer,Long balls
795794,ravanelli-luca,Ground duels
795794,ravanelli-luca,Tackling
963038,andreas-jungdal,Reflexes
963038,andreas-jungdal,Handling
137665,pietro-iemmello,Anchor play
867628,marco-pompetti,Long balls
573596,jacopo-petriccione,Long balls
108030,mario-situm,Long balls
862238,matias-antonini,Aerial duels
169485,stefano-scognamillo,Ground duels
152483,matteo-brunori,Long shots
152483,matteo-brunori,Penalty taking
296432,roberto-insigne,Passing
296432,roberto-insigne,Playmaking
296432,roberto-insigne,Long balls
263567,francesco-di-mariano,Playmaking
1136034,giacomo-corona,Aerial duels
1136034,giacomo-corona,Positioning
1136034,giacomo-corona,Anchor play
848385,dario-saric,Long balls
142860,leo-stulac,Direct free kicks
963043,kristoffer-lund,Ground duels
1013188,salim-diakite,Ground duels
131916,fabio-lucioni,Ground duels
131916,fabio-lucioni,Positioning
131916,fabio-lucioni,Aerial duels
143695,alfred-gomis,Reflexes
89510,fabio-borini,Positioning
89510,fabio-borini,Finishing
89510,fabio-borini,Penalty taking
41222,massimo-coda,Penalty taking
1141186,luca-polli,Anchor play
225132,matteo-ricci,Long balls
1067220,gerard-yepes,Positioning
1067220,gerard-yepes,Ground duels
327429,alex-ferrari,Ground duels
318603,emil-audero,Penalty saving
318603,emil-audero,Long shots saving
318603,emil-audero,High claims
967747,nicolas-galazzi,Direct free kicks
967747,nicolas-galazzi,Playmaking
146613,dimitri-bisoli,Positioning
146613,dimitri-bisoli,Consistency
146613,dimitri-bisoli,Ground duels
794992,matthias-verreth,Positioning
794992,matthias-verreth,Aerial duels
558552,lorenzo-dickmann,Positioning
1023080,andrea-papetti,Ground duels
873040,alexander-jallow,Ground duels
139272,luca-lezzerini,High claims
139272,luca-lezzerini,Consistency
139272,luca-lezzerini,Penalty saving
187119,gennaro-tutino,Penalty taking
267703,alessandro-micai,Reflexes
267703,alessandro-micai,Penalty saving
587708,antonio-palumbo,Playmaking
970874,kleis-bozhanaj,Long shots
100569,luca-tremolada,Playmaking
928775,shady-oukhadda,Ground duels
1123175,riyad-idrissi,Ball control
347394,giovanni-zaro,Ground duels
347394,giovanni-zaro,Positioning
347394,giovanni-zaro,Aerial duels
811061,riccardo-gagno,Long shots saving
964713,alessandro-sersanti,Tackling
964713,alessandro-sersanti,Positioning
12656,luca-cigarini,Playmaking
283125,elvis-kabashi,Positioning
283125,elvis-kabashi,Long balls
946304,tobias-reinhart,Ball control
848566,andrea-meroni,Ground duels
848566,andrea-meroni,Aerial duels
848566,andrea-meroni,Positioning
153029,mario-sampirisi,Aerial duels
153029,mario-sampirisi,Ground duels
80203,francesco-bardi,Long shots saving
80203,francesco-bardi,Reflexes
80203,francesco-bardi,Handling
61445,jasmin-kurtic,Long balls
148283,daniele-casiraghi,Playmaking
148283,daniele-casiraghi,Penalty taking
143238,fabian-tait,Positioning
17814,andrea-masiello,Ground duels
17814,andrea-masiello,Consistency
131108,luca-ceppitelli,Positioning
131108,luca-ceppitelli,Ground duels
893920,andrea-cagnano,Ground duels
132023,giacomo-poluzzi,High claims
1118278,daniel-theiner,Runs out
346948,stefano-moreo,Positioning
887275,matteo-tramoni,High pressing
887011,adrian-rus,Aerial duels
911355,canestrelli-simone,Aerial duels
150611,nicolas,Long shots saving
1067063,claudio-cassano,High pressing
222012,simone-branca,Positioning
222012,simone-branca,High pressing
222012,simone-branca,Tackling
259959,alessio-vita,High pressing
126880,alessandro-salvi,Aerial duels
555740,nicola-pavan,Ground duels
605580,daniele-verde,Ground duels
605580,daniele-verde,Long shots
826196,mirko-antonucci,High pressing
931267,salvatore-esposito,Ground duels
931267,salvatore-esposito,Playmaking
931267,salvatore-esposito,Consistency
812332,filippo-bandinelli,High pressing
931266,przemyslaw-wisniewski,Aerial duels
832076,hristov-petko,Aerial duels
788185,dimitris-nikolaou,Ground duels
148199,federico-viviani,Long balls
136947,marco-capuano,Tackling
136947,marco-capuano,Positioning
895287,giuseppe-sibilli,High pressing
895287,giuseppe-sibilli,Long balls
895287,giuseppe-sibilli,Long shots
187841,ahmad-benali,Long balls
106260,raffaele-maiello,Positioning
106260,raffaele-maiello,Ground duels
606940,giacomo-ricci,Ground duels
75806,raffaele-pucino,Ground duels
816839,claud-adjapong,Ground duels
814342,valerio-mantovani,Ground duels
849267,davide-balestrero,Positioning
951930,nicolo-buso,Positioning
826570,crociata-giovanni,Direct free kicks
867735,alessandro-bianconi,Long balls
917895,caporale-alessandro,Aerial duels
818244,ousmane-dembele,Playmaking
818244,ousmane-dembele,Long balls
818244,ousmane-dembele,High pressing
361004,marco-asensio,Passing
361004,marco-asensio,Long balls
361004,marco-asensio,Playmaking
934510,goncalo-ramos,Positioning
934510,goncalo-ramos,Anchor play
996952,barcola-bradley,Playmaking
1142673,ayman-kari,Anchor play
1142673,ayman-kari,Positioning
997183,xavi-simons,Long balls
997183,xavi-simons,Playmaking
997183,xavi-simons,High pressing
917087,kang-in-lee,Passing
917087,kang-in-lee,Playmaking
902029,vitinha,Consistency
902029,vitinha,High pressing
902029,vitinha,Long balls
1142672,warren-zaire-emery,Long balls
846425,manuel-ugarte,High pressing
846425,manuel-ugarte,Tackling
846425,manuel-ugarte,Long balls
784655,fabian-ruiz,Long balls
784655,fabian-ruiz,High pressing
784655,fabian-ruiz,Consistency
832427,carlos-soler,Passing
832427,carlos-soler,Long balls
1113488,gharbi-ismael,Long shots
155995,marquinhos,Ground duels
155995,marquinhos,Long balls
989768,nuno-mendes,Consistency
352370,lucas-hernandez,Ground duels
187205,milan-skriniar,Ground duels
187205,milan-skriniar,Long balls
99545,danilo-pereira,Long balls
99545,danilo-pereira,Ground duels
824509,gianluigi-donnarumma,Handling
824509,gianluigi-donnarumma,Long shots saving
824509,gianluigi-donnarumma,Reflexes
800749,matvey-safonov,Long shots saving
800749,matvey-safonov,Reflexes
800749,matvey-safonov,Handling
155818,takumi-minamino,High pressing
770677,denis-zakaria,Positioning
770677,denis-zakaria,Long balls
945062,youssouf-fofana,Positioning
945062,youssouf-fofana,Playmaking
945062,youssouf-fofana,High pressing
1008849,camara-mohamed,Long balls
1090694,vanderson,Positioning
845170,caio-henrique,Ground duels
845170,caio-henrique,Playmaking
1130939,maghnes-akliouche,High pressing
1130942,felix-lemarechal,High pressing
1130942,felix-lemarechal,Playmaking
946158,mohammed-salisu,Positioning
946158,mohammed-salisu,Tackling
946158,mohammed-salisu,Ground duels
978285,wilfried-singo,Ground duels
281277,thilo-kehrer,Consistency
1170560,soungoutou-magassa,Tackling
849114,radoslaw-majecki,Reflexes
849114,radoslaw-majecki,Consistency
849114,radoslaw-majecki,Long shots saving
981046,karamoko-dembele,Playmaking
825681,romain-del-castillo,Playmaking
825681,romain-del-castillo,Penalty taking
825681,romain-del-castillo,High pressing
801306,pierre-lees-melou,Positioning
801306,pierre-lees-melou,High pressing
801306,pierre-lees-melou,Long balls
123264,jonas-martin,Long balls
990820,hiangaa-mbock,Long balls
964795,achraf-dari,Aerial duels
1129382,bradley-locko,Ground duels
1129382,bradley-locko,Tackling
141080,kenny-lala,Tackling
141080,kenny-lala,Long balls
141080,kenny-lala,Ground duels
1129751,julien-le-cardinal,Ground duels
100390,marco-bizot,Long shots saving
935564,jonathan-david,Finishing
935564,jonathan-david,Anchor play
935564,jonathan-david,Positioning
953767,andrej-ilic,Aerial duels
953767,andrej-ilic,Positioning
368120,nabil-bentaleb,Long balls
368120,nabil-bentaleb,Positioning
887766,edon-zhegrova,High pressing
887766,edon-zhegrova,Playmaking
887766,edon-zhegrova,Long shots
867441,angel-gomes,Long balls
867441,angel-gomes,Playmaking
1138804,haraldsson-hakon-arnar,Long balls
72998,remy-cabella,Playmaking
72998,remy-cabella,High pressing
72998,remy-cabella,Passing
51665,benjamin-andre,High pressing
51665,benjamin-andre,Tackling
51665,benjamin-andre,Positioning
1391541,ngalayel-mukau,Positioning
1391541,ngalayel-mukau,Tackling
1391541,ngalayel-mukau,Ground duels
1153315,leny-yoro,Ground duels
1087364,tiago-santos,Ground duels
1087364,tiago-santos,Tackling
962408,bafode-diakite,Long balls
1049775,alexsandro-ribeiro,Ground duels
1049775,alexsandro-ribeiro,Aerial duels
78352,ismaily,Aerial duels
78352,ismaily,Ground duels
996953,chevalier-lucas,Penalty saving
996953,chevalier-lucas,Handling
996953,chevalier-lucas,Long shots saving
17053,vito-mannone,Handling
17053,vito-mannone,Reflexes
367056,jeremie-boga,Passing
367056,jeremie-boga,Playmaking
1002357,aliou-balde,Positioning
985923,hicham-boudaoui,Ground duels
985934,youssouf-ndayishimiye,Positioning
1092074,rares-ilie,High pressing
250133,morgan-sanson,Passing
250133,morgan-sanson,Playmaking
250133,morgan-sanson,High pressing
804472,pablo-rosario,Ground duels
945217,jean-clair-todibo,Ground duels
3577,dante,Ground duels
3577,dante,Tackling
3577,dante,Positioning
906075,melvin-bard,Tackling
796279,jordan-lotomba,Ground duels
889590,marcin-bulka,Penalty saving
889590,marcin-bulka,Long shots saving
889590,marcin-bulka,Handling
96542,maxime-dupe,Penalty saving
354808,said-benrahma,High pressing
354808,said-benrahma,Playmaking
50070,alexandre-lacazette,Penalty taking
50070,alexandre-lacazette,Finishing
50070,alexandre-lacazette,Positioning
1202024,ernest-nuamah,Passing
1195784,malick-fofana,Passing
1195784,malick-fofana,Ground duels
979128,cherki-rayan,Long balls
979128,cherki-rayan,Consistency
979128,cherki-rayan,Playmaking
44241,nemanja-matic,Positioning
44241,nemanja-matic,Ground duels
44241,nemanja-matic,Long balls
343067,corentin-tolisso,Long balls
343067,corentin-tolisso,High pressing
343067,corentin-tolisso,Playmaking
859027,maxence-caqueret,Long balls
859027,maxence-caqueret,High pressing
859027,maxence-caqueret,Passing
39480,dejan-lovren,Aerial duels
257091,duje-caleta-car,Aerial duels
795261,adryelson,Aerial duels
795261,adryelson,Positioning
998253,jake-obrien,Aerial duels
871290,lucas-perri,Handling
871290,lucas-perri,Long shots saving
871290,lucas-perri,Reflexes
788921,florian-sotoca,Consistency
788921,florian-sotoca,Positioning
788921,florian-sotoca,Penalty taking
1023091,david-pereira-da-costa,Passing
787540,angelo-fulgini,Long balls
787540,angelo-fulgini,Anchor play
123166,nampalys-mendy,Ground duels
579576,ruben-aguilar,Passing
788977,spierings-stijn,Positioning
788977,spierings-stijn,High pressing
794953,danso-kevin,Ground duels
369650,jonathan-gradit,Ground duels
867299,herve-koffi,Long shots saving
164055,brice-samba,Reflexes
164055,brice-samba,Handling
164055,brice-samba,Long shots saving
51498,pierre-emerick-aubameyang,Penalty taking
51498,pierre-emerick-aubameyang,High pressing
51498,pierre-emerick-aubameyang,Positioning
991421,azzedine-ounahi,Long balls
827522,amine-harit,High pressing
827522,amine-harit,Passing
827522,amine-harit,Playmaking
151124,jordan-veretout,Playmaking
151124,jordan-veretout,Passing
96544,geoffrey-kondogbia,Ground duels
96544,geoffrey-kondogbia,Tackling
96544,geoffrey-kondogbia,Positioning
1134351,ismael-kone,Ground duels
1134351,ismael-kone,Long balls
238612,chancel-mbemba,Ground duels
928236,leonardo-balerdi,Tackling
928236,leonardo-balerdi,Positioning
928236,leonardo-balerdi,Ground duels
339231,samuel-gigot,Ground duels
339231,samuel-gigot,Aerial duels
339231,samuel-gigot,Positioning
548848,pau-lopez,Long shots saving
1188191,oumar-diakite,High pressing
783278,junya-ito,High pressing
783278,junya-ito,Playmaking
1156353,kamory-doumbia,Passing
829643,teddy-teuma,Penalty taking
829643,teddy-teuma,High pressing
829643,teddy-teuma,Playmaking
894733,marshall-munetsi,Positioning
1013842,emmanuel-agbadou,Tackling
1013842,emmanuel-agbadou,Positioning
845183,yehvann-diouf,High claims
845183,yehvann-diouf,Consistency
814358,olliero-alexandre,High claims
814358,olliero-alexandre,Reflexes
859026,amine-gouiri,High pressing
859026,amine-gouiri,Positioning
846445,martin-terrier,Positioning
846445,martin-terrier,Anchor play
1154605,desire-doue,Long balls
324399,benjamin-bourigeaud,Penalty taking
324399,benjamin-bourigeaud,Playmaking
806076,ludovic-blas,Long shots
806076,ludovic-blas,Passing
806076,ludovic-blas,Long balls
856495,azor-matusiwa,Long balls
856495,azor-matusiwa,Positioning
344751,baptiste-santamaria,Long balls
1049515,alidu-seidu,Ground duels
1049515,alidu-seidu,Tackling
999028,truffert-adrien,Ground duels
999030,omari-warmed,Long balls
947874,dogan-alemdar,High claims
947874,dogan-alemdar,Reflexes
340561,gauthier-gallon,High claims
905381,thijs-dallinga,Anchor play
905381,thijs-dallinga,Positioning
911851,yann-gboho,High pressing
911851,yann-gboho,Playmaking
795002,niklas-schmidt,Long balls
883156,cesar-gelabert,Long balls
862773,denis-genreau,High pressing
1020744,charlie-cresswell,Aerial duels
911853,logan-costa,Ground duels
798124,rasmus-nicolaisen,Positioning
798124,rasmus-nicolaisen,Aerial duels
798124,rasmus-nicolaisen,Ground duels
876600,mousa-al-taamari,High pressing
156682,teji-savanier,Penalty taking
156682,teji-savanier,Playmaking
156682,teji-savanier,High pressing
848458,nordin-arnaud,Ground duels
976396,joris-chotard,Positioning
123229,jordan-ferri,Playmaking
848537,boubakar-kouyate,Positioning
848537,boubakar-kouyate,Ground duels
940918,becir-omeragic,Ground duels
904759,modibo-sagnan,Ground duels
904759,modibo-sagnan,Tackling
123207,benjamin-lecomte,Consistency
123207,benjamin-lecomte,Penalty saving
123207,benjamin-lecomte,Reflexes
963298,dilane-bakwa,Playmaking
963298,dilane-bakwa,High pressing
1128532,habib-diarra,Long balls
1197153,junior-mwanga,Long balls
1137670,nordine-kandil,Playmaking
1063237,saidou-sow,Ground duels
1170197,abakar-sylla,Ground duels
1170197,abakar-sylla,Tackling
186017,eduard-sobol,Ground duels
372430,frederic-guilbert,Tackling
941077,lucas-perrin,Ground duels
1087805,marvin-senaya,Tackling
1087805,marvin-senaya,Ground duels
873551,mostafa-mohamed,Positioning
809034,douglas-augusto,Long balls
809034,douglas-augusto,Tackling
809034,douglas-augusto,Positioning
234230,florent-mollet,Passing
234230,florent-mollet,High pressing
802143,kelvin-amian,Tackling
802034,fabien-centonze,Ground duels
826201,alban-lafont,Long shots saving
826201,alban-lafont,High claims
149732,abdoulaye-toure,Long balls
1003317,nassim-chadli,Long shots
1003317,nassim-chadli,Ground duels
785518,yoann-salmier,Ground duels
798306,arthur-desmas,Reflexes
798306,arthur-desmas,Handling
1009372,mikautadze-georges,Long balls
1009372,mikautadze-georges,Penalty taking
1009372,mikautadze-georges,Finishing
1463508,pape-diallo,Positioning
1389846,camara-lamine,Positioning
1389846,camara-lamine,Long balls
902657,jessy-deminguet,Passing
892430,fali-cande,Ground duels
32668,alexandre-oukidja,High claims
1463509,pape-sy,Consistency
1463509,pape-sy,Reflexes
1463509,pape-sy,Handling
1405239,mohamed-bamba,High pressing
1027091,joel-mugisha-mvuka,Passing
1174462,pablo-pagis,Positioning
149735,tiemoue-bakayoko,Positioning
1397569,dembo-sylla,Ground duels
942844,julien-ponceau,Long balls
296434,laurent-abergel,Positioning
1105700,cathline-yoann,High pressing
985403,ismaheel-taofeek,High pressing
985403,ismaheel-taofeek,Playmaking
879618,montassar-talbi,Positioning
879618,montassar-talbi,Ground duels
982316,formose-mendy,Aerial duels
982316,formose-mendy,Tackling
982316,formose-mendy,Positioning
149656,yvon-mvogo,Long shots saving
958901,muhammed-cham-saracevic,Penalty taking
958901,muhammed-cham-saracevic,Passing
958901,muhammed-cham-saracevic,Long balls
1416332,toure-musa,Ball control
1082953,habib-keita,Ground duels
1082953,habib-keita,Long balls
1102099,yadaly-diaby,Long shots
26895,henri-saivet,Direct free kicks
26895,henri-saivet,Ground duels
26895,henri-saivet,Long balls
920008,neto-borges,Positioning
216222,johan-gastien,Playmaking
877978,andy-pelmard,Ground duels
1393974,camara-ousmane,Positioning
1393974,camara-ousmane,High pressing
927005,sinayoko-lassine,High pressing
904424,elisha-owusu,Long balls
757742,rayan-raveloson,Long balls
757742,rayan-raveloson,Positioning
757742,rayan-raveloson,Consistency
842391,gauthier-hein,Passing
842391,gauthier-hein,Consistency
842391,gauthier-hein,Long balls
782240,assane-diousse,Long balls
1126588,lasso-coulibaly,High pressing
827506,gaetan-perrin,Playmaking
844942,gideon-mensah,Tackling
919680,saad-agouzoul,Ground duels
920680,gabriel-osho,Ground duels
1130986,paul-joly,Ground duels
329195,jubal,Positioning
329195,jubal,Ground duels
159837,donovan-leon,Handling
159837,donovan-leon,Reflexes
294641,lois-diony,Anchor play
945830,himad-abdelli,High pressing
945830,himad-abdelli,Consistency
945830,himad-abdelli,Long balls
342911,cedric-hountondji,Ground duels
170129,florent-hanin,Ground duels
363042,jordan-lefort,Ground duels
877977,yahia-fofana,Reflexes
877977,yahia-fofana,Handling
921369,zuriko-davitashvili,Passing
914738,ibrahim-sissoko,Penalty taking
1138352,augustine-boakye,Positioning
1138352,augustine-boakye,Long shots
1046446,benjamin-bouchouari,Long balls
816810,mathieu-cafaro,Playmaking
234142,florian-tardieu,Positioning
234142,florian-tardieu,Long balls
234142,florian-tardieu,Ground duels
891600,dylan-chambost,Playmaking
1172936,louis-mouton,Long balls
178721,yunis-abdelhamid,Positioning
178721,yunis-abdelhamid,Tackling
178721,yunis-abdelhamid,Ground duels
1424605,bentayg-mahmoud,Ground duels
123164,dennis-appiah,Tackling
558522,anthony-briancon,Long balls
558522,anthony-briancon,Ground duels
827504,leo-petrot,Ground duels
810526,gautier-larsonneur,Long shots saving
810526,gautier-larsonneur,Handling
810526,gautier-larsonneur,Reflexes
965242,giovanni-haag,Tackling
965242,giovanni-haag,Positioning
965242,giovanni-haag,Consistency
895306,lucas-buades,Ground duels
940328,jean-philippe-krasso,Penalty taking
940328,jean-philippe-krasso,Positioning
940328,jean-philippe-krasso,High pressing
1047988,ayoub-jabbari,Anchor play
1049442,ilan-kebbal,Playmaking
1049442,ilan-kebbal,Long balls
1049442,ilan-kebbal,High pressing
1170523,lohann-doucet,Ground duels
1170523,lohann-doucet,Long balls
821461,cyril-mandouki,Long balls
1468764,tourraine-mathys,Ground duels
1468764,tourraine-mathys,Tackling
981168,samir-sophian-chergui,Long balls
981168,samir-sophian-chergui,Ground duels
878923,kouadio-dabila,Ground duels
982319,moustapha-mbow,Positioning
982319,moustapha-mbow,Ground duels
1119498,jules-gaudin,Ground duels
1015872,obed-nkambadio,High claims
1015872,obed-nkambadio,Long shots saving
609226,alexandre-mendy,Finishing
609226,alexandre-mendy,Penalty taking
609226,alexandre-mendy,Anchor play
1131059,brahimi-bilal,Long balls
1131059,brahimi-bilal,Ground duels
1214957,noe-lebreton,Long balls
1214957,noe-lebreton,Ground duels
101451,mathias-autret,Long balls
101451,mathias-autret,Playmaking
1120387,didi-gaucho,Long balls
1120387,didi-gaucho,Positioning
919027,ali-abdi,Tackling
919027,ali-abdi,Aerial duels
1112794,brahim-traore,Ground duels
1112794,brahim-traore,Long balls
796312,emmanuel-ntim,Ground duels
73979,romain-thomas,Ground duels
360868,anthony-mandrea,Consistency
360868,anthony-mandrea,High claims
821464,malik-tchokounte,Anchor play
821464,malik-tchokounte,Positioning
143803,jordan-adeoti,Long balls
966620,titouan-thomas,Ground duels
966620,titouan-thomas,Long balls
989535,vargas-thibault,Playmaking
991831,sanna-sam,Positioning
51473,mamadou-samassa,High claims
857002,louis-mafouta,Anchor play
46387,gael-kakuta,High pressing
46387,gael-kakuta,Playmaking
46387,gael-kakuta,Long shots
940992,kylian-kaiboue,Tackling
940992,kylian-kaiboue,Ground duels
940992,kylian-kaiboue,Positioning
865796,frank-boya,Positioning
867455,antoine-leautey,High pressing
1154433,owen-gene,Long balls
822703,mamadou-fofana,Tackling
822703,mamadou-fofana,Positioning
822703,mamadou-fofana,Ground duels
915129,osaze-urhoghide,Ground duels
915129,osaze-urhoghide,Positioning
915129,osaze-urhoghide,Tackling
14841,regis-gurtner,Long shots saving
14841,regis-gurtner,Consistency
14841,regis-gurtner,Handling
846506,mehdi-merghem,Playmaking
846506,mehdi-merghem,High pressing
846506,mehdi-merghem,Direct free kicks
960079,kalidou-sidibe,Positioning
960079,kalidou-sidibe,Aerial duels
579542,dylan-louiserre,Positioning
1104848,donatien-gomis,Ground duels
580112,pierre-lemonnier,Positioning
878283,lenny-vallier,Tackling
878283,lenny-vallier,Ground duels
307212,enzo-basilio,Long shots saving
141072,khalid-boutaib,Positioning
141072,khalid-boutaib,Anchor play
914739,steeve-beusnard,Long balls
847869,jordy-gaspar,Ground duels
99232,xavier-kouassi,Ground duels
583312,bingourou-kamara,High claims
1104296,mohamed-amine-sbai,Playmaking
1010126,lenny-joseph,Positioning
794991,dante-rigo,Positioning
580120,jessy-benet,Playmaking
580120,jessy-benet,Positioning
